,price
1522,1750.0
1523,1350.0
1524,1600.0
1525,3000.0
1526,2800.0
1527,2700.0
1528,2995.0
1529,2095.0
1530,1400.0
1531,3600.0
1532,3135.0
1533,1300.0
1534,2050.0
1535,1550.0
1536,2600.0
1537,2800.0
1538,2290.0
1539,1600.0
1540,1975.0
1541,5500.0
1542,4245.0
1543,2950.0
1544,2505.0
1545,3175.0
1546,3620.0
1547,3000.0
1548,2395.0
1549,2850.0
1550,2250.0
1551,3500.0
1552,2550.0
1553,3795.0
1554,3895.0
1555,2400.0
1556,2650.0
1557,2250.0
1558,2400.0
1559,1700.0
1560,2410.0
1561,2200.0
1562,5495.0
1563,2475.0
1564,3175.0
1565,2210.0
1566,3400.0
1567,2800.0
1568,2745.0
1569,2995.0
1570,3895.0
1571,2695.0
1572,2200.0
1573,1800.0
1574,1000.0
1575,1495.0
1576,3600.0
1577,2295.0
1578,2395.0
1579,1800.0
1580,3600.0
1581,4995.0
1582,2125.0
1583,2200.0
1584,3499.0
1585,2175.0
1586,1600.0
1587,3100.0
1588,3500.0
1589,2200.0
1590,2250.0
1591,2900.0
1592,4795.0
1593,2400.0
1594,2200.0
1595,1750.0
1596,2000.0
1597,3400.0
1598,1925.0
1599,1750.0
1600,3500.0
1601,3500.0
1602,1895.0
1603,2500.0
1604,2250.0
1605,2250.0
1606,2250.0
1607,2250.0
1608,2295.0
1609,2250.0
1610,2250.0
1611,2250.0
1612,2250.0
1613,2400.0
1614,3495.0
1615,1250.0
1616,3030.0
1617,3125.0
1618,3145.0
1619,3919.0
1620,7000.0
1621,2895.0
1622,2645.0
1623,4500.0
1624,6000.0
1625,3695.0
1626,6500.0
1627,10995.0
1628,8500.0
1629,5700.0
1630,3090.0
1631,8800.0
1632,2250.0
1633,3500.0
1634,2450.0
1636,7995.0
1637,8500.0
1638,4000.0
1639,2100.0
1640,2995.0
1641,2800.0
1642,4395.0
1643,2499.0
1644,3900.0
1645,5400.0
1646,12975.0
1647,3627.0
1648,2300.0
1649,2978.0
1650,3500.0
1651,3150.0
1652,7000.0
1653,3460.0
1655,2300.0
1656,2399.0
1657,2850.0
1658,3500.0
1659,2300.0
1660,3300.0
1661,11400.0
1662,2950.0
1663,3300.0
1664,2550.0
1665,1825.0
1666,2600.0
1667,2580.0
1668,5795.0
1669,3475.0
1670,2495.0
1671,1895.0
1672,2500.0
1673,2200.0
1674,3000.0
1675,2100.0
1676,3395.0
1677,2200.0
1678,2300.0
1679,3112.0
1680,4395.0
1681,6500.0
1682,2150.0
1683,2800.0
1684,3800.0
1685,5000.0
1686,3000.0
1687,3495.0
1688,1500.0
1689,6500.0
1690,1600.0
1691,2995.0
1692,1800.0
1693,4700.0
1694,2395.0
1695,8500.0
1696,2395.0
1697,8500.0
1698,2769.0
1699,2100.0
